西元,實歲,大運,流年,大運流年合化,運勢 ( 紅線越長代表該年運勢越佳 ),bazi,name
1993,10,癸丑,癸酉,地支金局,,甲寅癸巳甲寅癸亥,cuphd
1994,11,癸丑,甲戌,地支土局,,甲寅癸巳甲寅癸亥,cuphd
1995,12,癸丑,乙亥,,,甲寅癸巳甲寅癸亥,cuphd
1996,13,癸丑,丙子,地支土局,,甲寅癸巳甲寅癸亥,cuphd
1997,14,癸丑,丁丑,地支土局,,甲寅癸巳甲寅癸亥,cuphd
1998,15,癸丑,戊寅,天干化火,,甲寅癸巳甲寅癸亥,cuphd
1999,16,癸丑,己卯,,,甲寅癸巳甲寅癸亥,cuphd
2000,17,癸丑,庚辰,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2001,18,癸丑,辛巳,地支金局,,甲寅癸巳甲寅癸亥,cuphd
2002,19,癸丑,壬午,,,甲寅癸巳甲寅癸亥,cuphd
2003,20,壬子,癸未,,,甲寅癸巳甲寅癸亥,cuphd
2004,21,壬子,甲申,地支水局,,甲寅癸巳甲寅癸亥,cuphd
2005,22,壬子,乙酉,,,甲寅癸巳甲寅癸亥,cuphd
2006,23,壬子,丙戌,,,甲寅癸巳甲寅癸亥,cuphd
2007,24,壬子,丁亥,天干化木,,甲寅癸巳甲寅癸亥,cuphd
2008,25,壬子,戊子,,,甲寅癸巳甲寅癸亥,cuphd
2009,26,壬子,己丑,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2010,27,壬子,庚寅,,,甲寅癸巳甲寅癸亥,cuphd
2011,28,壬子,辛卯,,,甲寅癸巳甲寅癸亥,cuphd
2012,29,壬子,壬辰,地支水局,,甲寅癸巳甲寅癸亥,cuphd
2013,30,辛亥,癸巳,,,甲寅癸巳甲寅癸亥,cuphd
2014,31,辛亥,甲午,,,甲寅癸巳甲寅癸亥,cuphd
2015,32,辛亥,乙未,地支木局,,甲寅癸巳甲寅癸亥,cuphd
2016,33,辛亥,丙申,天干化水,,甲寅癸巳甲寅癸亥,cuphd
2017,34,辛亥,丁酉,,,甲寅癸巳甲寅癸亥,cuphd
2018,35,辛亥,戊戌,,,甲寅癸巳甲寅癸亥,cuphd
2019,36,辛亥,己亥,,,甲寅癸巳甲寅癸亥,cuphd
2020,37,辛亥,庚子,,,甲寅癸巳甲寅癸亥,cuphd
2021,38,辛亥,辛丑,,,甲寅癸巳甲寅癸亥,cuphd
2022,39,辛亥,壬寅,地支合木,,甲寅癸巳甲寅癸亥,cuphd
2023,40,庚戌,癸卯,地支合火,,甲寅癸巳甲寅癸亥,cuphd
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,甲寅癸巳甲寅癸亥,cuphd
2024,41,庚戌,甲辰,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2025,42,庚戌,乙巳,天干化金,,甲寅癸巳甲寅癸亥,cuphd
2026,43,庚戌,丙午,地支火局,,甲寅癸巳甲寅癸亥,cuphd
2027,44,庚戌,丁未,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2028,45,庚戌,戊申,,,甲寅癸巳甲寅癸亥,cuphd
2029,46,庚戌,己酉,,,甲寅癸巳甲寅癸亥,cuphd
2030,47,庚戌,庚戌,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2031,48,庚戌,辛亥,,,甲寅癸巳甲寅癸亥,cuphd
2032,49,庚戌,壬子,,,甲寅癸巳甲寅癸亥,cuphd
2033,50,己酉,癸丑,地支金局,,甲寅癸巳甲寅癸亥,cuphd
2034,51,己酉,甲寅,天干化土,,甲寅癸巳甲寅癸亥,cuphd
2035,52,己酉,乙卯,,,甲寅癸巳甲寅癸亥,cuphd
2036,53,己酉,丙辰,地支合金,,甲寅癸巳甲寅癸亥,cuphd
2037,54,己酉,丁巳,地支金局,,甲寅癸巳甲寅癸亥,cuphd
2038,55,己酉,戊午,,,甲寅癸巳甲寅癸亥,cuphd
2039,56,己酉,己未,,,甲寅癸巳甲寅癸亥,cuphd
2040,57,己酉,庚申,,,甲寅癸巳甲寅癸亥,cuphd
2041,58,己酉,辛酉,,,甲寅癸巳甲寅癸亥,cuphd
2042,59,己酉,壬戌,,,甲寅癸巳甲寅癸亥,cuphd
2043,60,戊申,癸亥,天干化火,,甲寅癸巳甲寅癸亥,cuphd
2044,61,戊申,甲子,地支水局,,甲寅癸巳甲寅癸亥,cuphd
2045,62,戊申,乙丑,,,甲寅癸巳甲寅癸亥,cuphd
2046,63,戊申,丙寅,,,甲寅癸巳甲寅癸亥,cuphd
2047,64,戊申,丁卯,,,甲寅癸巳甲寅癸亥,cuphd
2048,65,戊申,戊辰,地支水局,,甲寅癸巳甲寅癸亥,cuphd
2049,66,戊申,己巳,地支合水,,甲寅癸巳甲寅癸亥,cuphd
2050,67,戊申,庚午,,,甲寅癸巳甲寅癸亥,cuphd
2051,68,戊申,辛未,,,甲寅癸巳甲寅癸亥,cuphd
2052,69,戊申,壬申,,,甲寅癸巳甲寅癸亥,cuphd
2053,70,丁未,癸酉,,,甲寅癸巳甲寅癸亥,cuphd
2054,71,丁未,甲戌,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2055,72,丁未,乙亥,地支木局,,甲寅癸巳甲寅癸亥,cuphd
2056,73,丁未,丙子,,,甲寅癸巳甲寅癸亥,cuphd
2057,74,丁未,丁丑,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2058,75,丁未,戊寅,,,甲寅癸巳甲寅癸亥,cuphd
2059,76,丁未,己卯,地支木局,,甲寅癸巳甲寅癸亥,cuphd
2060,77,丁未,庚辰,地支土局,,甲寅癸巳甲寅癸亥,cuphd
2061,78,丁未,辛巳,,,甲寅癸巳甲寅癸亥,cuphd
2062,79,丁未,壬午,天干化木,,甲寅癸巳甲寅癸亥,cuphd
2063,80,丙午,癸未,,,甲寅癸巳甲寅癸亥,cuphd
2064,81,丙午,甲申,,,甲寅癸巳甲寅癸亥,cuphd
2065,82,丙午,乙酉,,,甲寅癸巳甲寅癸亥,cuphd
2066,83,丙午,丙戌,地支火局,,甲寅癸巳甲寅癸亥,cuphd
2067,84,丙午,丁亥,,,甲寅癸巳甲寅癸亥,cuphd
2068,85,丙午,戊子,,,甲寅癸巳甲寅癸亥,cuphd
2069,86,丙午,己丑,,,甲寅癸巳甲寅癸亥,cuphd
2070,87,丙午,庚寅,地支火局,,甲寅癸巳甲寅癸亥,cuphd
2071,88,丙午,辛卯,天干化水,,甲寅癸巳甲寅癸亥,cuphd
2072,89,丙午,壬辰,,,甲寅癸巳甲寅癸亥,cuphd
